Property type,Rooms,Floor,Furnished,Balcony,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,district
Apartment,2,4,No,Yes,2024-04-03,12995,600,38985,12995,65575,2023-11-07,Amager Øst
Apartment,2,1,No,Yes,2024-04-03,12450,750,24900,12450,50550,2023-11-07,Amager Vest
Room,1,9,Yes,Yes,2024-04-03,5000,700,15000,5000,25700,2023-11-06,Amager Vest
Apartment,4,2,No,Yes,2024-04-03,14500,,43500,14500,72500,2023-11-02,Amager Vest
Apartment,1,1,No,Yes,2024-04-03,15900,1000,47700,15900,80500,2023-11-02,Amager Vest
Apartment,3,2,No,Yes,2024-04-03,13500,800,40500,13500,68300,2023-11-02,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,15500,950,46500,15500,78450,2023-10-31,Amager Vest
Apartment,3,1,No,Yes,2024-04-03,13750,1200,41250,13750,69950,2023-10-31,Amager Vest
Apartment,4,4,No,Yes,2024-04-03,17700,1350,53100,17700,89850,2023-10-30,Amager Vest
Apartment,3,0,No,Yes,2024-04-03,16900,1000,50700,16900,85500,2023-10-30,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,13950,1105,41850,13950,70855,2023-10-30,Amager Vest
Apartment,3,3,No,Yes,2024-04-03,14600,,43800,14600,73000,2023-10-25,Amager Vest
Apartment,3,2,No,Yes,2024-04-03,13450,700,40350,13450,67950,2023-10-25,Amager Vest
Apartment,3,6,No,Yes,2024-04-03,14200,975,42600,14200,71975,2023-10-25,Amager Vest
Apartment,3,1,No,Yes,2024-04-03,13200,700,39600,13200,66700,2023-10-23,Amager Vest
Apartment,4,10,No,Yes,2024-04-03,16500,1150,49500,16500,83650,2023-10-18,Amager Vest
Apartment,3,4,No,Yes,2024-04-03,13800,700,41400,13800,69700,2023-10-16,Amager Vest
Apartment,3,3,No,Yes,2024-04-03,14000,700,42000,14000,70700,2023-10-16,Amager Vest
Apartment,3,4,No,Yes,2024-04-03,14900,1000,44700,14900,75500,2023-10-16,Amager Vest
Apartment,2,3,No,Yes,2024-04-03,25900,1500,77700,25900,131000,2023-10-16,Amager Vest
Apartment,4,2,No,Yes,2024-04-03,16900,1100,50700,16900,85600,2023-10-13,Amager Vest
Apartment,3,3,No,Yes,2024-04-03,13700,700,41100,13700,69200,2023-10-13,Amager Vest
Apartment,2,3,Yes,Yes,2024-04-03,12000,800,24000,0,36800,2023-09-12,Amager Øst
Apartment,4,1,No,Yes,2024-04-03,16500,1000,49500,16500,83500,2023-09-11,Amager Vest
Apartment,4,1,No,Yes,2024-04-03,17200,1100,51600,17200,87100,2023-09-06,Amager Vest
Room,1,2,Yes,No,2024-04-03,7000,0,14000,7000,28000,2023-09-03,Amager Vest
Apartment,4,5,No,Yes,2024-04-03,17200,1100,51600,17200,87100,2023-08-31,Amager Vest
Apartment,2,5,No,Yes,2024-04-03,25900,1266,77700,25900,130766,2022-07-12,Amager Vest
Room,1,1,No,No,2024-04-03,5700,300,11400,0,17400,2023-11-23,Amager Øst
Apartment,2,0,No,Yes,2024-04-03,11900,1050,35700,11900,60550,2023-08-16,Amager Vest
Apartment,4,5,No,Yes,2024-04-03,17000,700,51000,17000,85700,2023-08-11,Amager Vest
Apartment,2,2,No,Yes,2024-04-03,18800,1000,56400,18800,95000,2024-01-04,Amager Vest
Room,1,2,Yes,No,2024-04-03,5900,900,6000,0,12800,2023-12-10,Indre By
Room,1,4,Yes,No,2024-04-03,7900,1000,17800,7900,34600,2023-12-10,Østerbro
Apartment,3,2,Yes,Yes,2024-04-03,25000,1000,75000,25000,126000,2023-04-18,Amager Vest
Apartment,2,2,No,Yes,2024-04-03,25500,1600,76500,25500,129100,2023-02-15,Amager Vest
Apartment,1,1,Yes,Yes,2024-04-03,14000,550,28000,14000,56550,2022-10-13,Amager Vest
Room,1,0,No,Yes,2024-04-03,4900,0,9800,0,14700,2023-12-30,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,14100,,42300,14100,70500,2023-12-20,Amager Vest
Apartment,2,4,No,Yes,2024-04-03,13400,600,40200,13400,67600,2023-09-11,Amager Vest
Apartment,3,6,No,Yes,2024-04-03,33500,1400,100500,33500,168900,2023-09-28,Amager Vest
Apartment,3,0,No,Yes,2024-04-03,13950,950,41850,13950,70700,2023-09-13,Amager Vest
Room,1,1,No,Yes,2024-04-03,4000,0,4000,0,8000,2024-01-10,Nørrebro
Room,1,0,Yes,No,2024-04-03,8500,0,8500,0,17000,2023-08-09,Valby
Apartment,5,4,No,No,2024-04-03,50000,1500,150000,150000,351500,2023-10-05,Indre By
Apartment,4,2,No,Yes,2024-04-03,16500,800,49500,0,66800,2023-10-04,Vesterbro-Kongens Enghave
